sigma_test,replica,v_score_standard,v_score_posenc
0.21820512820512822,4,0.0004832973852810338,0.0005084169359316867
0.21820512820512822,5,0.0007889799281938484,0.000983231348995954
0.21820512820512822,6,0.00021531247219593513,0.00023679032689832575
0.21820512820512822,7,0.0019843595209413593,0.0028335985738570505
0.21820512820512822,8,0.0003923224168105724,0.00046775914926407467
0.21820512820512822,9,0.0003604430428854204,0.00035801048423899897
0.22564102564102564,0,0.00019791579007747277,0.0001993841591974902
0.22564102564102564,1,0.0002164795907312739,0.00023052243185530825
0.22564102564102564,2,0.00013949200327482714,0.00016078226746674522
0.22564102564102564,3,0.0005694941135127485,0.0004638820577040979
0.22564102564102564,4,0.0003700634598963653,0.00020697256301790645
0.22564102564102564,5,0.00016967378735667212,0.0002192565305286439
0.22564102564102564,6,0.0020604756706193456,0.0026413682988975598
0.22564102564102564,7,0.0020339756190143362,0.002605839166536396
0.22564102564102564,8,0.00023464633259824802,0.00038865744840184966
0.22564102564102564,9,0.00022995859351319402,0.00021258694641205112
0.23307692307692307,0,0.0005017620820939535,0.0005808287663738948
0.23307692307692307,1,0.0006224795745407345,0.0008127583976848731
0.23307692307692307,2,0.00024728368516970504,0.0002891011824710825
0.23307692307692307,3,0.00011900948938424972,0.00015421277459576004
0.23307692307692307,4,0.0017361206999170493,0.0018620412806982939
0.23307692307692307,5,0.0004940100454905797,0.0004260593401892238
0.23307692307692307,6,0.00018959323070344197,0.0002453025546663104
0.23307692307692307,7,0.0006620994763452455,0.0002934333916612371
0.23307692307692307,8,0.0010504400024884503,0.0012899319755916951
0.23307692307692307,9,0.00021806178163686146,0.00030301622521620666
0.24051282051282052,0,0.0007575718434836863,0.0008137979969873122
0.24051282051282052,1,0.0005339250416409457,0.000617812544780765
0.24051282051282052,2,0.0008467561541779533,0.0008711648843645172
0.24051282051282052,3,0.0007434677365604963,0.0004482055911890605
0.24051282051282052,4,0.0012025980144661189,0.000993712986050084
0.24051282051282052,5,0.0022859975229260285,0.0020261693409651684
0.24051282051282052,6,0.0005165285469370833,0.00042091464746037637
0.24051282051282052,7,0.0016380497948414764,0.0030515042880759785
0.24051282051282052,8,0.0006898214531388827,0.0007927671780268777
0.24051282051282052,9,0.002520874400340136,0.0029680743697089135
0.24794871794871795,0,0.00022262244287030001,0.00018310992242066382
0.24794871794871795,1,0.007136813126533008,0.015748134364777767
0.24794871794871795,2,0.00021778519519572264,0.00022272721589574923
0.24794871794871795,3,0.00100681758067741,0.004803558033479733
0.24794871794871795,4,0.0005896984387941496,0.00045385917283696916
0.24794871794871795,5,0.00031079340295352695,0.0007104881253886648
0.24794871794871795,6,0.0010001758163234386,0.000989568733133968
0.24794871794871795,7,0.00071899477847556,0.0006819338434727814
0.24794871794871795,8,0.00021922018381388906,0.0003069347709960836
0.24794871794871795,9,0.0004876827549209087,0.00045473104085574733
0.2553846153846154,0,0.0022941477846448017,0.004034427520712666
0.2553846153846154,1,0.00030319225516804753,0.000337634152223544
0.2553846153846154,2,0.0002633983822804304,0.0003339897501060838
0.2553846153846154,3,0.000329358368856094,0.0005009722017100406
0.2553846153846154,4,0.0006058839512675698,0.0005868314110379811
0.2553846153846154,5,0.0001780066755073645,0.00016183994606198173
0.2553846153846154,6,0.0011297384080942085,0.0012303541260380241
0.2553846153846154,7,0.0008935974434007382,0.0015080460499450072
0.2553846153846154,8,0.0017915991273617293,0.0021030258661185247
0.2553846153846154,9,0.0009072728589052966,0.0008651502546981814
0.26282051282051283,0,0.0006838176884442869,0.0007081420340546906
0.26282051282051283,1,0.0002662298657195582,0.0002974151066113
0.26282051282051283,2,0.0013631216274714298,0.0013352861543560542
0.26282051282051283,3,0.0006437987191199013,0.0007553838869110428
0.26282051282051283,4,0.0014724249661621008,0.0035950819673186752
0.26282051282051283,5,0.0003565106280333191,0.00034120687517371555
0.26282051282051283,6,0.0008097326228345362,0.000764003017011537
0.26282051282051283,7,0.0004968136442008279,0.0006360238851016464
0.26282051282051283,8,0.001645900700935921,0.0016382184200961702
0.26282051282051283,9,0.00032825523459371046,0.0003802367089090133
0.2702564102564103,0,0.0004557522093870993,0.00046643007215073574
0.2702564102564103,1,0.0004101844079976952,0.0004428318207393387
0.2702564102564103,2,0.0005272265038824244,0.0006008509497120908
0.2702564102564103,3,0.001044009405209726,0.0010735025626470297
0.2702564102564103,4,0.0003257869994934698,0.00035638911911882806
0.2702564102564103,5,0.0001827905683922016,0.00017233679359724224
0.2702564102564103,6,0.00032540298013924887,0.000343178827372853
0.2702564102564103,7,0.0004316058084088756,0.0004931410789330866
0.2702564102564103,8,0.0002382759535009622,0.0003424221564597447
0.2702564102564103,9,0.0003895537915261453,0.0005309320664193371
0.2776923076923077,0,0.001355686847782995,0.0013297632154200122
0.2776923076923077,1,0.00025984926549156367,0.0002608892689897563
0.2776923076923077,2,0.0002470226566106059,0.00021564422393443783
0.2776923076923077,3,0.0012548669480380442,0.0011853137567725768
0.2776923076923077,4,0.0004907591266788967,0.0005090889519389932
0.2776923076923077,5,0.00039511769852561875,0.0003886826007161743
0.2776923076923077,6,0.00021691413318594683,0.00020955051527596371
0.2776923076923077,7,0.0006202101992182007,0.0004092342319592084
0.2776923076923077,8,0.0007560881328100849,0.0007755873972635888
0.2776923076923077,9,0.0010908996346341165,0.0017794895119948443
0.28512820512820514,0,0.00039313659932411517,0.00039591774019817253
