sigma_test,replica,v_score_original,v_score_dual
0.26282051282051283,0,0.0006838176884442869,0.00040166867625721314
0.26282051282051283,1,0.0002662298657195582,3.27034396591747e-05
0.26282051282051283,2,0.0013631216274714298,4.228443755045577e-05
0.26282051282051283,3,0.0006437987191199013,2.7692646056953617e-05
0.26282051282051283,4,0.0014724249661621008,7.227344688662675e-05
0.26282051282051283,5,0.0003565106280333191,3.873711970311069e-05
0.26282051282051283,6,0.0008097326228345362,3.0312767592368506e-05
0.26282051282051283,7,0.0004968136442008279,2.1827287306128242e-05
0.26282051282051283,8,0.001645900700935921,4.2027311368675366e-05
0.26282051282051283,9,0.00032825523459371046,3.208944739242723e-05
0.2702564102564103,0,0.0004557522093870993,2.9753325245514963e-05
0.2702564102564103,1,0.0004101844079976952,9.88089727499363e-05
0.2702564102564103,2,0.0005272265038824244,3.410944485517257e-05
0.2702564102564103,3,0.001044009405209726,2.3887077813208737e-05
0.2702564102564103,4,0.0003257869994934698,3.8304751134547876e-05
0.2702564102564103,5,0.0001827905683922016,2.2148730780510106e-05
0.2702564102564103,6,0.00032540298013924887,4.186030019527305e-05
0.2702564102564103,7,0.0004316058084088756,2.3499553122091792e-05
0.2702564102564103,8,0.0002382759535009622,4.184171071306241e-05
0.2702564102564103,9,0.0003895537915261453,4.984123591760062e-05
0.2776923076923077,0,0.001355686847782995,3.806827171285455e-05
0.2776923076923077,1,0.00025984926549156367,4.302098795319899e-05
0.2776923076923077,2,0.0002470226566106059,2.4513893834269445e-05
0.2776923076923077,3,0.0012548669480380442,4.314256312533157e-05
0.2776923076923077,4,0.0004907591266788967,4.280339953788189e-05
0.2776923076923077,5,0.00039511769852561875,3.123608754903477e-05
0.2776923076923077,6,0.00021691413318594683,0.00011278583850408897
0.2776923076923077,7,0.0006202101992182007,4.189750076528744e-05
0.2776923076923077,8,0.0007560881328100849,2.8285374635867082e-05
0.2776923076923077,9,0.0010908996346341165,6.56656225498021e-05
0.28512820512820514,0,0.00039313659932411517,3.4303537884062025e-05
0.28512820512820514,1,0.0004435195423642715,4.195847790860954e-05
0.28512820512820514,2,0.0004162168295391024,4.43612618686525e-05
0.28512820512820514,3,0.000845106757634579,6.89159562319786e-05
0.28512820512820514,4,0.0002386159152817811,2.1368669976013432e-05
0.28512820512820514,5,0.00028399284201885167,4.2274105185420163e-05
0.28512820512820514,6,0.0045289189887343555,7.287243970083713e-05
0.28512820512820514,7,0.0009256971168196335,0.0001838926003265779
0.28512820512820514,8,0.0016841090941024867,2.640943450212199e-05
0.28512820512820514,9,0.0008108572008797881,7.292654037567296e-05
0.2925641025641026,0,0.00014933716650652201,2.0019037633636752e-05
0.2925641025641026,1,0.0010501550960165577,4.684785497421865e-05
0.2925641025641026,2,0.0006428277654812993,5.6397901909101286e-05
0.2925641025641026,3,0.0013275967386146015,0.0004496465806962415
0.2925641025641026,4,0.00023285998119496263,2.1226357954245173e-05
0.2925641025641026,5,0.0003567168557919328,2.3199732880625086e-05
0.2925641025641026,6,0.002520601698394588,5.297749754604488e-05
0.2925641025641026,7,0.0005682492672238256,3.884157767004434e-05
0.2925641025641026,8,0.0003264136942811274,6.0494518400299806e-05
0.2925641025641026,9,0.000807266331725338,5.1061578442160915e-05
0.3,0,0.0008217419044057065,7.365102056104602e-05
0.3,1,0.0008111179263926134,0.00016107613596277355
