b,L_eff,sigma_test,replica,v_score
1,36,0.22564102564102564,8,0.00022962594335057117
1,36,0.22564102564102564,9,0.00020024802013409552
1,36,0.23307692307692307,0,0.00028184331367759626
1,36,0.23307692307692307,1,0.00022198788835736736
1,36,0.23307692307692307,2,0.00022625106870399273
1,36,0.23307692307692307,3,0.00021278323351147337
1,36,0.23307692307692307,4,0.00020871757357520534
1,36,0.23307692307692307,5,0.00020184310980613768
1,36,0.23307692307692307,6,0.00026741874397239227
1,36,0.23307692307692307,7,0.00025492013877336113
1,36,0.23307692307692307,8,0.0003416605961222803
1,36,0.23307692307692307,9,0.0002983850559950035
1,36,0.24051282051282052,0,0.0002722461878623481
1,36,0.24051282051282052,1,0.00019601986753874315
1,36,0.24051282051282052,2,0.00024580022192631187
1,36,0.24051282051282052,3,0.00022311711363350226
1,36,0.24051282051282052,4,0.00019457424640864502
1,36,0.24051282051282052,5,0.00030035691336016674
1,36,0.24051282051282052,6,0.0002134518052502156
1,36,0.24051282051282052,7,0.00023664488918610844
1,36,0.24051282051282052,8,0.00022468267703025415
1,36,0.24051282051282052,9,0.0002538672651692596
1,36,0.24794871794871795,0,0.0004180241700623583
1,36,0.24794871794871795,1,0.00021517729710867636
1,36,0.24794871794871795,2,0.0002675302158266136
1,36,0.24794871794871795,3,0.000374691719419085
1,36,0.24794871794871795,4,0.0002458826624377966
1,36,0.24794871794871795,5,0.00027910183248476767
1,36,0.24794871794871795,6,0.0002923766047772651
1,36,0.24794871794871795,7,0.0002459690188623545
1,36,0.24794871794871795,8,0.00028632054714147266
1,36,0.24794871794871795,9,0.00023214761624260934
1,36,0.2553846153846154,0,0.00026237895329950614
1,36,0.2553846153846154,1,0.000231516991564049
1,36,0.2553846153846154,2,0.00025793508706737245
1,36,0.2553846153846154,3,0.00022148753983652978
1,36,0.2553846153846154,4,0.0003133474037350057
1,36,0.2553846153846154,5,0.00021938617592322162
1,36,0.2553846153846154,6,0.0002589483575881766
1,36,0.2553846153846154,7,0.0002555094028722416
1,36,0.2553846153846154,8,0.0002387505319548364
1,36,0.2553846153846154,9,0.00019656652176168723
1,36,0.26282051282051283,0,0.00034392923446952765
1,36,0.26282051282051283,1,0.0003084585814839788
1,36,0.26282051282051283,2,0.0002464796446783324
1,36,0.26282051282051283,3,0.00019101254901716862
1,36,0.26282051282051283,4,0.00029571841819570787
1,36,0.26282051282051283,5,0.00025225109242413095
1,36,0.26282051282051283,6,0.00019296237832684815
1,36,0.26282051282051283,7,0.0002283210467818968
1,36,0.26282051282051283,8,0.00027095937654848996
