d_spin,d_coup,split,sigma_test,replica,v_score
6,10,6/10,0.03230769230769231,6,1.0802266246298656e-06
6,10,6/10,0.03230769230769231,7,8.142820298414802e-07
6,10,6/10,0.03230769230769231,8,8.12337845208653e-07
6,10,6/10,0.03230769230769231,9,1.2563305485053426e-06
6,10,6/10,0.03974358974358974,0,1.0939553742281605e-06
6,10,6/10,0.03974358974358974,1,1.5693666322279137e-06
6,10,6/10,0.03974358974358974,2,7.70152150632892e-07
6,10,6/10,0.03974358974358974,3,9.693532889127677e-07
6,10,6/10,0.03974358974358974,4,9.676927548915232e-07
6,10,6/10,0.03974358974358974,5,1.4421735616000287e-06
6,10,6/10,0.03974358974358974,6,8.683570014715611e-07
6,10,6/10,0.03974358974358974,7,1.2777795031465974e-06
6,10,6/10,0.03974358974358974,8,1.1656662916503433e-06
6,10,6/10,0.03974358974358974,9,1.4308228906834255e-06
6,10,6/10,0.04717948717948718,0,1.060568032642285e-06
6,10,6/10,0.04717948717948718,1,1.2987891500973436e-06
6,10,6/10,0.04717948717948718,2,1.1702521167672263e-06
6,10,6/10,0.04717948717948718,3,1.0541807486980088e-06
6,10,6/10,0.04717948717948718,4,8.662950217048143e-07
6,10,6/10,0.04717948717948718,5,1.2853620213854917e-06
6,10,6/10,0.04717948717948718,6,1.0652276900518236e-06
6,10,6/10,0.04717948717948718,7,9.783956823085928e-07
6,10,6/10,0.04717948717948718,8,1.2843750269526448e-06
