d_spin,d_coup,split,sigma_test,replica,v_score
4,12,4/12,0.2702564102564103,3,3.7931489875751224e-05
4,12,4/12,0.2702564102564103,4,5.527148240356749e-05
4,12,4/12,0.2702564102564103,5,1.5900026186084216e-05
4,12,4/12,0.2702564102564103,6,5.1417587619134584e-05
4,12,4/12,0.2702564102564103,7,4.0112050279127377e-05
4,12,4/12,0.2702564102564103,8,5.537399124372232e-05
4,12,4/12,0.2702564102564103,9,6.44115538909462e-05
4,12,4/12,0.2776923076923077,0,7.352007920207354e-05
4,12,4/12,0.2776923076923077,1,7.243582330667096e-05
4,12,4/12,0.2776923076923077,2,5.7859959489491666e-05
4,12,4/12,0.2776923076923077,3,9.829997843862643e-05
4,12,4/12,0.2776923076923077,4,7.297707643804286e-05
4,12,4/12,0.2776923076923077,5,5.0916508115631966e-05
4,12,4/12,0.2776923076923077,6,5.5158047788876476e-05
4,12,4/12,0.2776923076923077,7,5.9706972766839804e-05
4,12,4/12,0.2776923076923077,8,5.437325298636289e-05
4,12,4/12,0.2776923076923077,9,6.673728002320033e-05
4,12,4/12,0.28512820512820514,0,8.570338509276074e-05
4,12,4/12,0.28512820512820514,1,4.645516876925558e-05
4,12,4/12,0.28512820512820514,2,7.560663324147938e-05
4,12,4/12,0.28512820512820514,3,0.00013348919434003789
4,12,4/12,0.28512820512820514,4,3.369319169049588e-05
4,12,4/12,0.28512820512820514,5,0.00011192961273758594
4,12,4/12,0.28512820512820514,6,0.00026336633818473327
4,12,4/12,0.28512820512820514,7,0.00010233586012081274
4,12,4/12,0.28512820512820514,8,6.058802737665228e-05
4,12,4/12,0.28512820512820514,9,4.309404200725315e-05
4,12,4/12,0.2925641025641026,0,2.9694127996375913e-05
4,12,4/12,0.2925641025641026,1,3.172661695705389e-05
4,12,4/12,0.2925641025641026,2,8.212971235051444e-05
4,12,4/12,0.2925641025641026,3,7.666886682855134e-05
4,12,4/12,0.2925641025641026,4,4.547274232473734e-05
4,12,4/12,0.2925641025641026,5,3.792189882110103e-05
4,12,4/12,0.2925641025641026,6,5.054031777853412e-05
4,12,4/12,0.2925641025641026,7,4.827725230477384e-05
4,12,4/12,0.2925641025641026,8,6.156675099995034e-05
4,12,4/12,0.2925641025641026,9,9.328745333323384e-05
4,12,4/12,0.3,0,0.00015277707122211695
4,12,4/12,0.3,1,3.702634112207679e-05
4,12,4/12,0.3,2,2.8113052746152633e-05
4,12,4/12,0.3,3,3.50649568908714e-05
4,12,4/12,0.3,4,8.891827651961654e-05
4,12,4/12,0.3,5,0.0003876465048197426
4,12,4/12,0.3,6,5.702133282909752e-05
4,12,4/12,0.3,7,2.4199800873408955e-05
4,12,4/12,0.3,8,7.330785962288224e-05
4,12,4/12,0.3,9,0.0002446368507001327
6,10,6/10,0.01,0,7.504594826211762e-07
6,10,6/10,0.01,1,7.453763794402328e-07
6,10,6/10,0.01,2,8.096146583939013e-07
6,10,6/10,0.01,3,7.312268908505168e-07
6,10,6/10,0.01,4,8.083251899580366e-07
6,10,6/10,0.01,5,7.433596616251717e-07
6,10,6/10,0.01,6,7.530870167568882e-07
6,10,6/10,0.01,7,7.639410284768236e-07
6,10,6/10,0.01,8,7.275446445498674e-07
6,10,6/10,0.01,9,8.029586161682934e-07
6,10,6/10,0.017435897435897435,0,7.690284841178839e-07
6,10,6/10,0.017435897435897435,1,7.985494118373801e-07
6,10,6/10,0.017435897435897435,2,8.005316607099487e-07
6,10,6/10,0.017435897435897435,3,8.076973620679548e-07
6,10,6/10,0.017435897435897435,4,7.604733289487401e-07
6,10,6/10,0.017435897435897435,5,8.55322065214332e-07
6,10,6/10,0.017435897435897435,6,6.813180025936781e-07
6,10,6/10,0.017435897435897435,7,7.390003371549213e-07
6,10,6/10,0.017435897435897435,8,7.616724033640116e-07
6,10,6/10,0.017435897435897435,9,8.290283668100316e-07
6,10,6/10,0.02487179487179487,0,7.422178904203626e-07
6,10,6/10,0.02487179487179487,1,7.895932664047224e-07
6,10,6/10,0.02487179487179487,2,7.449998755178782e-07
6,10,6/10,0.02487179487179487,3,8.01444532780885e-07
6,10,6/10,0.02487179487179487,4,8.615138534850119e-07
6,10,6/10,0.02487179487179487,5,9.344575395539703e-07
6,10,6/10,0.02487179487179487,6,7.400824348821998e-07
6,10,6/10,0.02487179487179487,7,7.440758760928773e-07
6,10,6/10,0.02487179487179487,8,7.825664998802216e-07
6,10,6/10,0.02487179487179487,9,8.360113561505669e-07
6,10,6/10,0.03230769230769231,0,8.045503451396831e-07
6,10,6/10,0.03230769230769231,1,9.329397237527646e-07
6,10,6/10,0.03230769230769231,2,7.969897888496997e-07
6,10,6/10,0.03230769230769231,3,1.0463607027467116e-06
6,10,6/10,0.03230769230769231,4,1.0039543801522228e-06
6,10,6/10,0.03230769230769231,5,9.995347029147922e-07
